Cell_ID,X,Y,TACIT,Group.x,UMAP1,UMAP2
S5P2_43774,5512.2,28131.6,Others,S5P1_2,-5.354822743,-4.044382012
S5P2_43775,6031.7,28134,Tc,S5P1_2,-6.800356496,-3.996015704
S5P2_43776,5491.6,28139.2,Others,S5P1_2,-5.348759759,-4.066923535
S5P2_43777,6004.9,28129.8,Others,S5P1_2,-7.188668835,-2.316172517
S5P2_43778,6116.9,28134,Others,S5P1_2,-6.716989148,-3.553713
S5P2_43779,5546,28138,Fibroblast,S5P1_2,-6.380967725,0.245683157
S5P2_43780,5507,28135.5,Others,S5P1_2,-5.350638974,-4.084339536
S5P2_43781,6014.3,28133.6,VEC Progen,S5P1_2,-6.607050526,2.072800481
S5P2_43782,6089.4,28136.1,Others,S5P1_2,-5.599492657,-4.008170045
S5P2_43783,5598.1,28135,Fibroblast,S5P1_2,-4.957180131,5.28654679
S5P2_43784,5626.2,28136.3,Fibroblast,S5P1_2,-5.270727265,5.498075568
S5P2_43785,5980.3,28135.8,Others,S5P1_2,-7.034677136,-0.432799554
S5P2_43786,6079.8,28138,Others,S5P1_2,-6.422244179,-2.883774913
S5P2_43787,5418.5,28139.4,Fibroblast,S5P1_2,-4.921563733,5.265408122
S5P2_43788,5951.1,28137.3,Others,S5P1_2,4.00394715,-4.525511182
S5P2_43789,6023.2,28136.7,VEC Progen,S5P1_2,-5.896822083,2.270657622
S5P2_43790,6002.8,28144.2,Others,S5P1_2,-5.54823457,-2.654130376
S5P2_43791,5570,28135.6,Fibroblast,S5P1_2,-5.420102704,1.364721381
S5P2_43792,5500,28140.3,Others,S5P1_2,-5.396748173,-4.009652532
S5P2_43793,5512.8,28145.7,Others,S5P1_2,-5.359876263,-4.091604627
S5P2_43794,5615.2,28140.1,Fibroblast,S5P1_2,-4.761188138,5.655909621
S5P2_43795,5824.2,28141.2,Fibroblast,S5P1_2,-4.754556287,5.72603091
S5P2_43796,6010.9,28139.7,Others,S5P1_2,-5.612665284,-2.001289642
S5P2_43797,6036.3,28139.2,Others,S5P1_2,-5.500485528,-2.96673981
S5P2_43798,5315.2,28134.8,Others,S5P1_2,-7.628715146,-1.733660257
S5P2_43799,6043.8,28138.4,Others,S5P1_2,-6.868271458,-2.535601056
S5P2_43800,6050.4,28138.9,Others,S5P1_2,-6.999946225,-2.574230111
S5P2_43801,6069,28141,Others,S5P1_2,-6.00905906,-3.030305303
S5P2_43802,5637.7,28141.5,VEC,S5P1_2,-4.804286587,5.696028316
S5P2_43803,5875.3,28142.4,Others,S5P1_2,-7.163417924,-0.975323296
S5P2_43804,6117.6,28142.3,Others,S5P1_2,-6.520857442,-1.115985072
S5P2_43805,5329.9,28137.1,Fibroblast,S5P1_2,-6.183985341,-0.203445411
S5P2_43806,5624.1,28145.8,Fibroblast,S5P1_2,-4.7152897,5.357996547
